bag_file,topic,group
carbonZ_2018-07-18-12-10-11.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-18-15-53-31.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-18-16-22-01.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-18-16-37-39.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-30-16-28-00.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-30-16-29-45.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-30-16-39-00.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-30-17-02-48.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-30-17-10-45.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-30-17-20-01.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-30-17-36-35.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-07-30-17-46-31.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-11-56-30.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-13-57-47.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-14-16-55.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-14-22-07.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-14-41-38.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-14-41-51.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-14-42-06.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-14-52-54.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-15-05-11.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-15-06-34.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-17-10-10.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-17-27-13.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-09-11-17-55-30.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-05-14-34-20.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-05-14-37-22.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-05-15-52-12.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-05-15-55-10.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-05-16-04-46.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-18-11-03-57.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-18-11-04-00.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-18-11-04-08.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-18-11-04-35.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-18-11-06-06.bag,/mavros/nav_info/errors,unknown
carbonZ_2018-10-18-11-08-24.bag,/mavros/nav_info/errors,unknown
